ICAO24,Callsign,Longitude,Latitude,Baro_Altitude,Velocity
ac21e4,DAL1245 ,-79.3055,29.2166,10363.2,254.61
3455da,VOE70RJ ,-0.634,46.8579,6629.4,211.25
a94b50,UAL1814 ,-85.3238,30.5485,9753.6,242.0
adf445,N999CA  ,-101.7633,41.0993,12192.0,209.31
abad94,SWA3035 ,-94.0157,37.985,10972.8,239.57
0d0acd,AMX315  ,-96.5022,17.6276,10972.8,230.94
a69b92,ASA28   ,-106.903,41.0395,10668.0,244.19
e80211,LPE2495 ,-77.6306,-10.9733,5516.88,197.41
a9fbb6,N742TW  ,-112.3771,41.0298,2225.04,54.08
adda24,AAL637  ,-80.5488,40.8907,9448.8,276.0
a96577,DAL976  ,-81.9373,34.2324,10668.0,246.89
a247b8,N246QS  ,-80.3003,28.3436,7703.82,254.69
a95243,N70AP   ,-85.223,35.1435,944.88,118.41
a94b4b,UAL1511 ,-81.0881,41.0641,10363.2,207.25
a30726,N2943Q  ,-76.8584,40.2197,,5.92
adda23,DAL1825 ,-87.9401,34.3577,9433.56,231.89
adf442,N999BY  ,-85.1717,33.449,4815.84,98.15
e80218,LAN420  ,-58.4151,-34.5572,,0.06
4b187d,SWR242  ,49.8259,28.3857,11887.2,246.29
3c65ad,DLH8P   ,-1.2727,54.2821,10972.8,248.51
accd69,DAL1356 ,-97.13,44.4778,8229.6,261.06
c02e8f,JZA886  ,-93.8106,32.456,9692.64,224.1
3c65ab,DLH9861 ,14.2371,50.1024,,10.8
a7124d,N555DD  ,-97.6654,30.8447,647.7,40.29
a9523d,N70AH   ,-76.2881,40.0085,2560.32,72.62
a22db8,N24AT   ,-111.4366,33.2885,1371.6,77.69
4b187a,SWR6A   ,-79.1924,49.7393,11582.4,240.75
3455d7,VOE89XE ,24.3999,37.1147,6332.22,196.87
3455d8,VOE89GF ,8.1262,46.6026,11590.02,229.55
3c65c3,DLH9MU  ,-0.7121,53.9919,10965.18,228.1
e8020d,LAN622  ,-80.2055,-8.7854,11574.78,263.97
a14a13,N182WE  ,-81.5986,40.8823,579.12,69.56
3455d6,VOE76RT ,6.46,44.2392,9761.22,260.9
a69b8e,PXT252  ,-122.214,37.7036,,0.39
ac7159,N900YG  ,-65.2784,46.3661,11277.6,246.81
a05776,AAL841  ,-104.8088,36.649,10073.64,253.05
a71e9a,N558R   ,-87.5434,37.1633,2537.46,167.4
a0f4a2,DAL45   ,-71.5777,41.8105,11498.58,235.59
44023f,EJU64XB ,-5.838,41.6051,11277.6,202.62
a72598,N56LN   ,-78.5302,29.6897,11277.6,213.51
ad3ae6,N505AF  ,-74.8686,40.5861,754.38,42.05
ac1afa,SWA3053 ,-122.2193,37.71,,0.0
a8e2d6,DAL2177 ,-78.4884,36.8758,5234.94,222.88
3c5ee7,EWG2C   ,9.3242,48.7093,731.52,61.77
0d0aec,XATSB   ,-116.7904,32.1557,1524.0,88.06
3c5ee5,EWG9532 ,-0.3874,39.7335,6949.44,213.51
86d6ac,JAL707  ,100.7723,13.7346,281.94,74.37
ac6a7a,N9A     ,-73.8765,43.0379,243.84,39.97
a71291,LXJ555  ,-77.4714,39.1452,609.6,84.37
3c65d4,DLH65E  ,11.7931,48.3565,,1.8
4acb23,NSZ5074 ,1.235,43.4674,10972.8,284.81
a5d27e,N4741N  ,-103.4507,38.1676,2240.28,63.39
3c65d1,DLH1U   ,0.3771,51.2014,4236.72,219.02
ae1480,STGRY56 ,-97.1695,26.2373,2263.14,81.21
aded77,JBU773  ,-69.5475,40.9538,8153.4,246.15
acd486,DAL2836 ,-94.519,40.7318,7277.1,225.15
a10da4,WAE42   ,-117.2496,47.5146,1706.88,100.83
3c5ee3,EWG4KN  ,9.1927,48.6871,,0.06
aa8c98,BOE001  ,-122.3424,47.577,495.3,117.09
ad41cd,SWA783  ,-94.4579,38.9423,2758.44,136.06
3c5ee2,EWG4KA  ,12.2855,44.6558,11582.4,238.1
a54711,N4391J  ,-122.9268,47.3634,579.12,51.57
3c65cf,DLH2PK  ,11.861,48.37,647.7,60.56
3c5ef6,EWG3HW  ,14.2241,46.4175,8839.2,197.42
aa9371,N7804G  ,-82.1493,40.9264,1950.72,53.5
ae1467,RIDER75 ,-79.2853,41.3264,5791.2,207.54
46b82a,AEE932  ,26.7958,35.4302,10675.62,247.77
a34294,DAL2855 ,-88.226,39.3681,10363.2,225.58
aab9a6,DPJ790  ,-87.594,39.9039,9296.4,207.09
46b82d,AEE872  ,20.96,51.7356,4343.4,167.35
46b82b,AEE3DG  ,2.5832,49.0843,3215.64,162.88
3c5eed,EWG4TZ  ,6.6745,50.1951,10972.8,226.46
3b7b3d,MILAN78 ,6.5458,43.3899,3048.0,122.72
3c5eec,EWG9756 ,8.9651,50.4792,10668.0,231.75
3c65d8,DLH92A  ,-3.433,40.3719,1333.5,99.09
a5d28e,UAL1250 ,-101.3612,41.2521,10363.2,225.82
3c65d6,DLH5LJ  ,16.0368,44.661,11582.4,234.05
a04424,SKW5736 ,-115.6889,40.7245,10363.2,228.19
a8a87e,UAL31   ,-73.1595,43.5819,10896.6,230.93
3c65d9,DLH2YC  ,12.9612,49.5885,10843.26,255.55
ae145c,GRZLY01 ,-122.0346,38.19,838.2,137.94
e48bf8,AZU4876 ,-48.0094,-22.3243,5181.6,122.66
a8dbbd,PDT6096 ,-85.3763,42.7159,2141.22,143.49
a6f25d,N547EM  ,-104.9479,40.3148,4724.4,91.17
a6aef6,NTW53   ,-88.0232,43.181,4853.94,130.9
511101,SAS44A  ,14.5982,57.2622,5181.6,141.58
a6eb1e,GJS4188 ,-87.2466,41.9867,2270.76,126.04
a1511a,N184SB  ,-70.0194,41.549,1325.88,78.23
aab9ae,JAS9    ,-95.2159,32.1369,8686.8,233.03
a4c576,N4061R  ,-85.2282,41.8915,1950.72,71.77
a94b0a,UAL1957 ,-85.3685,39.8857,8534.4,213.04
c07bbe,WJA426  ,-111.9773,53.2415,8671.56,245.23
a0f4d6,N16058  ,-122.4173,45.266,2590.8,46.94
488e09,SPDRK   ,15.8427,50.9239,8732.52,118.48
a1a110,MXY526  ,-108.8335,35.4775,10965.18,208.58
0c4186,DWI3662 ,-74.5563,6.7317,11887.2,247.47
a0579a,N121BZ  ,-80.2985,26.0218,2186.94,154.09
4cc2ad,ICE635  ,-70.9792,42.4183,243.84,66.06
a091d5,DAL1559 ,-73.788,40.8704,2316.48,137.35
a72567,N56JP   ,-87.761,41.7875,,0.0
a2710d,N25662  ,-81.8909,40.9274,1036.32,72.79
a4ab61,MVP921  ,-89.8526,35.6727,8001.0,149.87
a69b62,N5249E  ,-95.4002,45.8114,792.48,52.63
440209,EJU42AD ,5.7005,46.7965,11567.16,224.85
ac491d,DAL2820 ,-77.4746,38.9611,38.1,83.86
ac2f18,SWA3504 ,-112.2083,35.6515,10622.28,238.4
a5958c,SWA2969 ,-96.487,29.9796,6438.9,210.48
46b821,AEE4MI  ,9.706,44.4435,,230.54
a1ad44,AAY1416 ,-72.8724,41.8212,9997.44,226.18
0d0ab1,ACW2300 ,-97.9347,25.7747,4069.08,152.8
505de3,OMDOC   ,15.2102,50.0743,1120.14,45.79
a4b259,SWA284  ,-115.278,35.9795,2560.32,143.0
a95216,N7YV    ,-104.5787,38.9623,2065.02,43.78
acd48e,N926BA  ,-122.0036,38.3872,358.14,41.18
a70b2f,GJS4384 ,-74.1827,40.6432,769.62,98.57
46b825,AEE4CA  ,23.7424,37.72,3154.68,153.8
ac718d,N9000J  ,-121.7647,39.0569,30.48,47.56
a71e5c,,-77.0436,38.8587,,0.06
a8584c,N637FT  ,-80.7087,28.0987,152.4,41.7
46b826,AEE510  ,18.0475,44.519,10972.8,232.81
a915cf,PDT6011 ,-75.1262,41.9734,5829.3,210.17
a7c2b6,N6BR    ,-87.5063,38.7184,12496.8,232.9
c07be8,GLR8973 ,-123.174,49.1843,,6.94
4cc2a7,ICE21V  ,-3.7778,55.6573,11582.4,228.05
adb903,CAP1823 ,-76.0547,38.7742,876.3,45.52
aaef21,VXP542  ,-77.3532,36.852,8839.2,226.05
a8eea1,DAL1333 ,-84.4094,32.367,7749.54,250.58
51110b,SAS58Y  ,12.8164,55.4816,2072.64,135.28
c02e92,JZA7731 ,-105.1803,51.9366,8702.04,188.44
a8a82a,EJA657  ,-95.3976,34.3619,7315.2,202.11
c02e94,JZA554  ,-76.7897,42.7135,8229.6,232.65
a02a41,N11EC   ,-88.2488,44.3059,1371.6,88.09
aaf617,SCX681  ,-92.6499,34.3393,10972.8,234.08
c01b4f,WJA649  ,-108.6296,49.3522,11582.4,205.18
